store_key,state,country,square_meters,total_sales_usd
2,"Northern Territory",Australia,665,12830.009947389364
14,Franche-Comt̩,France,350,81076.35516839863
13,Corse,France,245,109934.86435138465
17,Martinique,France,350,121589.66559997745
16,Limousin,France,385,132175.81390569147
12,Basse-Normandie,France,350,133203.87392887054
28,Caltanissetta,Italy,1200,143141.35035490335
15,"La R̩union",France,400,148497.90511097675
18,Mayotte,France,310,151905.17915782565
26,Saarland,Germany,350,207959.65055088577
