store_key,state,country,square_meters,total_sales_usd
0,Online,Online,0,8960954.30742532
9,"Northwest Territories",Canada,1500,1398253.8155089058
8,"Newfoundland and Labrador",Canada,2105,1263390.4333740245
10,Nunavut,Canada,1210,1101718.1392278254
45,Connecticut,"United States",2000,1080364.0699999977
54,Nebraska,"United States",2000,1074717.8199999973
50,Kansas,"United States",2000,1058325.4299999978
55,Nevada,"United States",2000,1056804.4599999976
65,"West Virginia","United States",1785,1019252.7999999967
61,"South Carolina","United States",2000,996910.359999998
