year,month,category,total_sales
2016,April,Audio,10231.24
2016,April,"Cameras and camcorders",22130.59
2016,April,"Cell phones",3600.93
2016,April,Computers,19753.70
2016,April,"Games and Toys",337.86
2016,April,"Home Appliances",13392.05
2016,April,"Music, Movies and Audio Books",3387.45
2016,April,"TV and Video",5660.98
2016,August,Audio,27111.33
2016,August,"Cameras and camcorders",54710.71
2016,August,"Cell phones",29557.17
2016,August,Computers,112615.10
2016,August,"Games and Toys",3826.40
2016,August,"Home Appliances",63846.39
2016,August,"Music, Movies and Audio Books",31755.92
2016,August,"TV and Video",44012.31
2016,December,Audio,50553.12
2016,December,"Cameras and camcorders",89986.27
2016,December,"Cell phones",75583.93
2016,December,Computers,220103.93
2016,December,"Games and Toys",5508.74
2016,December,"Home Appliances",137725.85
2016,December,"Music, Movies and Audio Books",61473.87
2016,December,"TV and Video",82429.70
2016,February,Audio,34591.03
2016,February,"Cameras and camcorders",101558.79
2016,February,"Cell phones",51498.78
2016,February,Computers,152154.03
2016,February,"Games and Toys",6306.60
2016,February,"Home Appliances",108033.07
2016,February,"Music, Movies and Audio Books",41312.54
2016,February,"TV and Video",60089.03
2016,January,Audio,27017.21
2016,January,"Cameras and camcorders",89200.60
2016,January,"Cell phones",26306.80
2016,January,Computers,76360.46
2016,January,"Games and Toys",6551.56
2016,January,"Home Appliances",98613.27
2016,January,"Music, Movies and Audio Books",51278.14
2016,January,"TV and Video",68852.16
2016,July,Audio,34912.62
2016,July,"Cameras and camcorders",47188.50
2016,July,"Cell phones",33223.45
2016,July,Computers,81876.44
2016,July,"Games and Toys",4707.52
2016,July,"Home Appliances",60891.26
2016,July,"Music, Movies and Audio Books",30194.48
2016,July,"TV and Video",48263.77
2016,June,Audio,27456.55
2016,June,"Cameras and camcorders",71017.53
2016,June,"Cell phones",32979.13
2016,June,Computers,92634.65
2016,June,"Games and Toys",5660.81
2016,June,"Home Appliances",102752.72
2016,June,"Music, Movies and Audio Books",33521.27
2016,June,"TV and Video",53416.78
2016,March,Audio,20320.21
2016,March,"Cameras and camcorders",57244.01
2016,March,"Cell phones",10901.73
2016,March,Computers,23085.15
2016,March,"Games and Toys",2672.22
2016,March,"Home Appliances",49587.91
2016,March,"Music, Movies and Audio Books",14463.36
2016,March,"TV and Video",17695.66
2016,May,Audio,14062.30
2016,May,"Cameras and camcorders",59819.73
2016,May,"Cell phones",42947.33
2016,May,Computers,100884.00
2016,May,"Games and Toys",3528.67
2016,May,"Home Appliances",75114.13
2016,May,"Music, Movies and Audio Books",26518.98
2016,May,"TV and Video",44674.63
2016,November,Audio,33826.42
2016,November,"Cameras and camcorders",60538.84
2016,November,"Cell phones",46816.69
2016,November,Computers,129457.05
2016,November,"Games and Toys",4693.83
2016,November,"Home Appliances",87121.91
2016,November,"Music, Movies and Audio Books",29446.56
2016,November,"TV and Video",32202.39
2016,October,Audio,30518.15
2016,October,"Cameras and camcorders",69256.60
2016,October,"Cell phones",34335.54
2016,October,Computers,96882.78
2016,October,"Games and Toys",5342.88
2016,October,"Home Appliances",117078.32
2016,October,"Music, Movies and Audio Books",44348.00
2016,October,"TV and Video",59540.49
2016,September,Audio,28747.58
2016,September,"Cameras and camcorders",54583.84
2016,September,"Cell phones",41745.79
2016,September,Computers,126714.04
2016,September,"Games and Toys",3392.50
2016,September,"Home Appliances",81824.30
2016,September,"Music, Movies and Audio Books",37865.81
2016,September,"TV and Video",44347.76
2017,April,Audio,2431.50
2017,April,"Cameras and camcorders",1992.00
2017,April,"Cell phones",8223.00
2017,April,Computers,4973.00
2017,April,"Games and Toys",313.04
2017,April,"Home Appliances",2972.40
2017,April,"Music, Movies and Audio Books",4603.83
2017,April,"TV and Video",5481.76
2017,August,Audio,47575.30
2017,August,"Cameras and camcorders",47622.74
2017,August,"Cell phones",52152.32
2017,August,Computers,113239.27
2017,August,"Games and Toys",4963.06
2017,August,"Home Appliances",97446.52
2017,August,"Music, Movies and Audio Books",38264.60
2017,August,"TV and Video",35726.21
2017,December,Audio,95557.90
2017,December,"Cameras and camcorders",84956.72
2017,December,"Cell phones",126212.06
2017,December,Computers,368276.12
2017,December,"Games and Toys",9231.81
2017,December,"Home Appliances",153460.62
2017,December,"Music, Movies and Audio Books",71399.13
2017,December,"TV and Video",43185.38
2017,February,Audio,43998.05
2017,February,"Cameras and camcorders",67108.94
2017,February,"Cell phones",48747.31
2017,February,Computers,170251.85
2017,February,"Games and Toys",5768.90
2017,February,"Home Appliances",145329.12
2017,February,"Music, Movies and Audio Books",40010.84
2017,February,"TV and Video",62806.42
2017,January,Audio,37228.99
2017,January,"Cameras and camcorders",70242.26
2017,January,"Cell phones",52783.03
2017,January,Computers,155915.68
2017,January,"Games and Toys",5541.86
2017,January,"Home Appliances",105291.76
2017,January,"Music, Movies and Audio Books",34995.23
2017,January,"TV and Video",41984.72
2017,July,Audio,22038.38
2017,July,"Cameras and camcorders",27214.13
2017,July,"Cell phones",46956.00
2017,July,Computers,130770.53
2017,July,"Games and Toys",3980.32
2017,July,"Home Appliances",99472.75
2017,July,"Music, Movies and Audio Books",29363.04
2017,July,"TV and Video",26537.54
2017,June,Audio,34496.57
2017,June,"Cameras and camcorders",46279.01
2017,June,"Cell phones",49286.86
2017,June,Computers,164553.25
2017,June,"Games and Toys",3609.77
